OUTLIERS: 

83. invoice_number: 8041410189 	price: 29.84 	item_sku: 94001-368 	size: PK 	z-score: 5.18663192621
84. invoice_number: 8041561126 	price: 29.84 	item_sku: 94001-368 	size: PK 	z-score: 5.18663192621
85. invoice_number: 8042511966 	price: 27.45 	item_sku: PH8816NB 	size: PK 	z-score: 5.18068380637
86. invoice_number: 8041608063 	price: 144.71 	item_sku: MK518922 	size: EA 	z-score: 5.17353515121
87. invoice_number: 8042511594 	price: 93.49 	item_sku: EM1.09535.0001 	size: EA 	z-score: 5.16946826736
88. invoice_number: 8041587172 	price: 320.23 	item_sku: 82050-930 	size: CS 	z-score: 5.1627076563
89. invoice_number: 8042527314 	price: 168.0 	item_sku: 89107-732 	size: EA 	z-score: 5.16157861742
90. invoice_number: 8041586641 	price: 17.09 	item_sku: 89501-620 	size: EA 	z-score: 5.13948417115
91. invoice_number: 8042625396 	price: 273.55 	item_sku: 29443-049 	size: CS 	z-score: 5.12025545605
92. invoice_number: 8042519292 	price: 183.43 	item_sku: 89039-664 	size: CS 	z-score: 5.09776154876
93. invoice_number: 8042620273 	price: 1283.35 	item_sku: BJ015-4 	size: CS 	z-score: 5.09559942818
94. invoice_number: 8042620086 	price: 149.11 	item_sku: 47729-576 	size: CS 	z-score: 5.09184973654
95. invoice_number: 8042577399 	price: 132.32 	item_sku: 29443-047 	size: CS 	z-score: 5.09143482322
96. invoice_number: 8042606881 	price: 4.93 	item_sku: 34108-041 	size: EA 	z-score: 5.07751031973
97. invoice_number: 8042611900 	price: 375.85 	item_sku: 82050-276 	size: CS 	z-score: 5.02194499659
98. invoice_number: 8042493833 	price: 250.5 	item_sku: 89042-021 	size: PK 	z-score: 5.01073982649
99. invoice_number: 8042626655 	price: 593.44 	item_sku: 40101-354 	size: CS 	z-score: 4.9853524922
100. invoice_number: 8041416585 	price: 593.44 	item_sku: 40101-354 	size: CS 	z-score: 4.9853524922
